date_found,source,company,role,link,location,remote_policy,employment_type,experience_band,compensation_hint,fit_score,status,why_fit,last_action,next_step,notes
2026-06-24,board_search,CSG,Software Development Engineer Grad,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Software-Development-Engineer-Grad_29170-1,"Bengaluru, India",,Full-time,Entry-level; mainframe training requirement likely applies,,5,new,"True grad role in Bengaluru, but only worth pursuing if the mainframe angle is acceptable and training requirement is met",Found via Workday board search,Apply only if you are comfortable with the mainframe-oriented JD,"Useful as a volume option, but less aligned than backend/API roles"
2026-06-24,board_search,Eurofins,Software Engineer,https://jobs.smartrecruiters.com/Eurofins/744000067879435-software-engineer,"Bengaluru, Karnataka, India",,Full-time,Experience not explicit on public page,,6,new,General software engineer opening in Bengaluru with a direct application page,Found via SmartRecruiters board search,Review the JD carefully for seniority and stack fit before applying,"Reasonable backup role, though less explicitly fresher-targeted than Hevo or Cisco"
2026-06-24,board_search,NVIDIA,Formal Verification Engineer - New College Graduate,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Formal-Verification-Engineer---New-College-Graduate_JR2017808,"Bengaluru / Gurugram, India",,Full-time,New college graduate,,6,new,"Official new-college-graduate opening at a top engineering company, but the role is hardware verification rather than your core backend target",Found via Workday search,Pursue if you want a strong systems/hardware adjacent option,"Great brand and fresh-grad framing, but not a backend role"
2026-06-24,board_search,Acai Travel,Software Engineer (India),https://jobs.ashbyhq.com/acai/4c4a0fee-e46e-4327-9aa7-d866b8b1f476/application,"Pune / Remote, India",Remote or Pune,Full-time,2-4 years non-internship experience; strong stretch,15-22 LPA + equity,6,new,"Remote/Pune backend-oriented startup role with explicit compensation and strong Go/API alignment, but the stated experience bar is above your core target",Found via Ashby board search,Apply only if you are comfortable taking a deliberate stretch shot,"Interesting because of backend fit, compensation clarity, and startup upside"
2026-06-26,board_search,Visa,SW Engineer,https://visa.wd5.myworkdayjobs.com/Visa_Early_Careers/job/IN---Bengaluru-India/SW-Engineer_REF082891W,"Bengaluru, India",,Full-time,Early career / Workday early-careers listing,,8,new,Official Visa early-career software role in Bengaluru and cleaner level fit than most generic SWE postings,Found via rare-board sweep on Visa Early Careers,Open the direct form and verify exact team plus eligibility wording before applying,Official early-career listing surfaced on 2026-06-26 search
2026-06-26,board_search,Red Hat,Trainee - Associate Software Engineer,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Pune/Trainee---Associate-Software-Engineer_R-050060,"Pune, India",,Full-time,Trainee / associate,,8,new,Very strong title fit for a fresher and solid brand for platform and systems-oriented engineering growth,Found via rare-board sweep on Red Hat Workday,"Open the listing and confirm stack, then apply early if Pune works",Official Red Hat trainee-associate listing
2026-06-26,board_search,Red Hat,Software Engineering Trainee,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Bangalore---Carina/Software-Engineering-Trainee_R-041280,"Bengaluru, India",,Full-time,Trainee,,8,new,Clean trainee framing in Bengaluru and one of the better pure entry-level titles from today's sweep,Found via rare-board sweep on Red Hat Workday,Open the form and prioritize if the Bangalore location works,Official Red Hat trainee listing
2026-06-26,board_search,Nexthink,Software Engineer,https://jobs.smartrecruiters.com/Nexthink/744000109643705-software-engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,Experience not explicit on public page,,7,new,Bengaluru hybrid software role with product-platform exposure and a better fit than many generic senior-leaning SmartRecruiters postings,Found via rare-board sweep on SmartRecruiters,Review the JD for seniority signals and apply if the scope still feels junior-friendly,Diagnostics engineering team at Nexthink
2026-06-26,board_search,QAD,Associate Fullstack Software Engineer,https://jobs.smartrecruiters.com/QADInc/744000111306820-associate-fullstack-software-engineer,Location not surfaced publicly,,Full-time,Associate-level Java fullstack,,7,new,Associate title and Java web-app stack make this a reasonable backup even though it leans more full-stack than backend,Found via rare-board sweep on SmartRecruiters,Open the direct page and confirm location plus work model before applying,Public crawl surfaces role details but not a clean location snippet
2026-06-26,board_search,Sutherland,Associate Engineer - Agentic AI Developer,https://jobs.smartrecruiters.com/Sutherland/744000126909282-associate-engineer-agentic-ai-developer,"Mumbai, India",,Full-time,Associate / experience not explicit,,8,new,"Strong overlap with your multi-agent and backend tooling experience, with Python and FastAPI called out directly",Found via rare-board sweep on SmartRecruiters,Prioritize if you're open to Mumbai and AI-heavy product engineering work,"Public JD mentions multi-agent pipelines, RAG, OCR, and FastAPI services"
2026-06-26,board_search,Renesas,"Associate Engineer, Validation",https://jobs.smartrecruiters.com/RenesasElectronics/744000129662584-associate-engineer-validation,"Hyderabad, India",On-site,Full-time,Associate / early career,,6,new,"Good systems-adjacent backup for an early-career engineer, though less aligned than backend API roles",Found via rare-board sweep on SmartRecruiters,Review the validation scope and apply if you're open to embedded-adjacent work,Regular permanent role in Hyderabad
2026-06-26,board_search,AliveCor,Software Engineer,https://jobs.jobvite.com/alivecor/job/oaTjAfwG,"Bangalore, India",Hybrid,Full-time,2-3 years relevant software engineering experience,,6,new,"Good company and stack quality, but the experience bar is slightly above your core target so this is a deliberate stretch",Found via rare-board sweep on Jobvite,Apply if you want a strong stretch shot and are comfortable with more full-stack scope,"Role mentions Next.js, PostgreSQL, internal tools, and AI-assisted development"
2026-06-26,board_search,Sarvam,"Backend Engineer, API Team",https://jobs.ashbyhq.com/sarvam/f46a00ea-a25b-478d-92b9-7a2deb129f5b/application,Location not surfaced publicly,,Full-time,Experience not explicit on public page,,7,new,"Strong backend and infra alignment because the role focuses on high-performance APIs serving ASR, TTS, LLM, and vision models",Found via rare-board sweep on Ashby,Open the full application page and apply if the ownership level still feels realistic,High-upside AI startup role; verify exact team expectations before submitting
2026-06-26,board_search,Sarvam,"Backend Engineer, Chanakya",https://jobs.ashbyhq.com/sarvam/86ae80f8-b7eb-43a4-afde-fef58e77e23e,"Bengaluru, India",On-site,Full-time,Experience not explicit on public page,,6,new,"Interesting backend AI-platform option in Bengaluru, but title alone does not fully guarantee fresher-friendly scope",Found via rare-board sweep on Ashby,Review the full JD carefully for ownership expectations before applying,On-site Bengaluru role at Sarvam
2026-06-26,board_search,Sarvam,Backend Engineer - Studio Media Platform,https://jobs.ashbyhq.com/sarvam/b07dfd8a-208d-43c1-a811-f1c447df26f9,Location not surfaced publicly,,Full-time,Experience not explicit on public page,,6,new,"Relevant backend systems work across dubbing, live translation, and shared media-platform services, but likely a bit more ownership-heavy than classic fresher roles",Found via rare-board sweep on Ashby,Treat as a stretch and apply if the detailed JD still looks realistic,Interesting if you want AI infrastructure exposure
2026-06-26,board_search,Drivetrain,Software Engineer (Data Engineering),https://jobs.lever.co/drivetrain/c677fe8d-8f9d-483e-b523-62c77e1a0fb7,India,Remote,Full-time,1-5+ years,,6,new,"Remote India role with strong software-engineering fundamentals and startup upside, but the bar leans above your core target",Found via rare-board sweep on Lever,Apply as a stretch if you are open to a data-engineering flavored role,"JD calls out large-scale data pipelines, DBT, and strong SQL"
2026-06-26,board_search,Reo.Dev,Backend Engineer,https://jobs.ashbyhq.com/reo-dev/15b154c0-93f0-4627-b8c2-1ee3fe5e8a8c,Remote / TBD,Flexible / TBD,Full-time,Experience not specified on public page,,6,new,"Strong backend startup fit on APIs and microservices, but the public page leaves seniority and location underspecified",Found via rare-board sweep on Ashby,Open the full role and verify level plus location before applying,Promising startup lead; keep only if the detailed expectations stay realistic
2026-06-26,board_search,Veeva,Associate Software Engineer - Test Automation,https://careers.veeva.com/job/d0704c83-8c0f-4545-8a40-eb48bcfec299/associate-software-engineer-test-automation-hyderabad-india/,"Hyderabad, India",,Full-time,1+ years,,7,new,"Associate title, Hyderabad location, and Java plus CI tooling make this a solid early-career backup even though it sits in test automation",Reverified the official Veeva result on 2026-07-15.,Apply if you are open to a QA-automation leaning engineering path.,Still live as a Hyderabad backup with Java plus CI-test automation focus.
2026-06-26,board_search,Veeva,Associate Software Engineer - Test Automation (Infra),https://careers.veeva.com/job/026b7ed5-d247-4b64-974f-b90d8940584b/associate-software-engineer-test-automation-infra-hyderabad-india/,"Hyderabad, India",,Full-time,Fresh graduate or recently started career; 1+ years accepted,,8,new,One of the better fits from today's sweep because the JD explicitly says fresh graduates or recently-started engineers are welcome,Found via rare-board sweep on Veeva Careers,Prioritize if you're open to infra-leaning automation and Hyderabad,"Infra-flavored automation role with AWS, Kubernetes, and API automation exposure"
2026-06-27,europe_pass,Altisource,Software Engineer,https://jobs.smartrecruiters.com/Altisource/744000127184759-software-engineer,"Bengaluru, KA, India",,Full-time,2-3 years; full-stack Java/Spring Boot + React,,5,new,"Europe-linked hiring path with remote India setup and backend-friendly stack, but the public bar looks above your core fresher target",Reverified the active SmartRecruiters requisition on 2026-07-14 and updated the link to the current posting.,Apply only if you want a deliberate 2-3 year full-stack stretch.,"Current live requisition asks for Java/Spring Boot, React, REST APIs, and GenAI-tool exposure; still outside the core fresher lane."
2026-06-27,europe_pass,Cognite,Software Engineer,https://job-boards.greenhouse.io/cognite/jobs/4873458101,India (Bengaluru),Unspecified / likely on-site or hybrid,Full-time,Experience not explicit on official page; role reads mid-level,,4,new,"Strong backend and distributed-systems alignment at a Europe-based product company with an India R&D center, but not a clean fresher match",Found via Europe pass on Cognite Greenhouse board,Treat as a stretch and open the full JD before deciding,Official board currently marks the India Software Engineer opening as New
2026-06-27,europe_pass,mthree,Graduate Recruitment - CP - Tech - 2026,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4660233006,India,Program / client placement,Full-time,Freshers / graduates,,7,new,Closer to the low-cost early-career lane you want because it is built for graduates and feeds into client placements after training,Found via Europe pass on Greenhouse,Apply if you are open to a training-first path rather than a direct product-company seat,Official page says 6-12 weeks of training followed by 12-24 months with a client
2026-07-03,board_search,Netomi,SDE I - Backend,https://jobs.lever.co/netomi/d61510b5-44ea-44c9-8441-097a48bf5e77,"Remote, India",Remote,Full-time,1-3 years,,8,new,"Backend role explicitly wants 1-3 years, Java/J2EE plus AWS, at a Y Combinator and Index Ventures backed agentic AI customer-experience platform; realistic stretch for a strong fresher",Reverified the exact Lever posting on 2026-07-15; remote India backend role remains active.,Open the Lever form and apply if you want the strongest remote backend stretch still live.,Still one of the best remote backend stretches in the active batch.
2026-07-09,company_seeded,PlayPower Labs,Software Engineer,https://jobs.ashbyhq.com/playpowerlabs/6087e852-9d62-4103-aa77-c3773974549a,"Remote, India",Remote,Full-time,Fresher-friendly / entry-level,,8,new,"Strong general SWE fit because the official Ashby listing explicitly welcomes a high-energy fresher and leans on APIs, automation, AI tools, and shipping product features.",Reverified the Ashby page on 2026-07-15; the role still explicitly pitches itself to a fresher.,Open the Ashby form and apply if you want a remote general-SWE role with AI-tooling exposure.,"Remote India role; more general/full-stack than backend-only, but still one of the better fresher-friendly remote leads."
2026-07-09,board_search,Netomi,SDE I (FullStack),https://jobs.lever.co/netomi/5dfe7149-e3e7-4063-be6f-440081b188b5,"Remote, India",Remote,Full-time,SDE I / experience not explicit on public snippet,,7,new,Remote India SDE I role at the same product company as the backend opening; a good general SWE fallback if full-stack scope is acceptable.,Reverified the exact Lever posting on 2026-07-14.,Open the Lever form and apply if you are comfortable widening from backend into full-stack scope.,Still active as a lower-priority general-SWE backup behind the backend role.
2026-07-10,board_search,Paytm,Backend - Software Engineer,https://jobs.lever.co/paytm/0f4edaf0-4ad8-4b5b-a373-1ec65dcdb65b,"Bangalore, India",,Full-time,1+ years,,8,new,"Strong backend fit with Java, Spring Boot, Redis, Kafka, AWS, and high-scale payment systems at a known late-stage Indian product company.",Rechecked the official Paytm Lever board on 2026-07-12; this backend posting is no longer listed.,Deprioritize unless Paytm reposts a comparable backend role.,Exact Lever posting is unavailable on 2026-07-12 and the current Paytm board no longer lists this backend opening.
2026-07-10,custom_domain,SymphonyAI,Associate Software Engineer (Java),https://jobs.symphonyai.com/jobs/2922?iis=LinkedIn&mode=apply,"Remote - Bengaluru, India",Remote,Full-time,1-2 years,,8,new,"Good backend-leaning Java fit because the official company page points to microservices, Spring Boot, REST APIs, and cloud deployment in an associate-level role.",Reverified the official SymphonyAI page on 2026-07-14; the associate Java role remains active.,Open the company form and apply if you want a remote Bengaluru Java/microservices backup.,Remote Bengaluru setup plus Java stack continue to make this one of the better backup leads.
2026-07-10,company_page,Halliburton,Software Developer,https://jobs.halliburton.com/job/Bangalore-Associate-Technical-Professional-Software-Development-KA-560066/1325794800/,"Bengaluru, India",,Full-time,Entry level / 0-5 years,,7,new,Large-company software-development opening in Bengaluru with an entry-level framing and a direct official application path.,Verified live during the 2026-07-10 company-seeded pass.,Open the official form and check whether the day-to-day work is software-heavy enough for your target.,Broader general-SWE backup; lower-priority than Paytm or SymphonyAI.
2026-07-10,company_page,Capgemini,Associate Software Engineer,https://www.capgemini.com/jobs/166185-en_gb/associate-software-engineer/,"Pune, India",,Full-time,Associate / early career,,7,new,"Official Capgemini opening posted recently for an associate software engineer, giving a straightforward large-company early-career path.",Verified live during the 2026-07-10 company-seeded pass.,Open the role and apply if Pune is acceptable and you want another large-company option.,"Solid backup path, but the JD is more generic than the stronger backend leads."
2026-07-11,board_search,Outmarket AI,AI Software Engineer,https://jobs.ashbyhq.com/outmarket/028f1164-19cf-4928-af55-e07f3b85fb90,Remote / US or India,Remote,Full-time,Experience bar not explicit on the current public page,,7,new,"Remote AI/software role with Python, APIs, RAG, LLM evaluation, and product shipping that still sits close to your backend-plus-agents lane.","Rechecked on 2026-07-13; the older AI Software Engineer title no longer appears on the current Outmarket Ashby board, which now lists a broader Software Engineer opening instead.",Switch focus to the new Outmarket Software Engineer role if you still want to pursue Outmarket.,The 2026-07-11 AI Software Engineer URL is no longer surfaced as an active board result; today's live replacement is Software Engineer (Remote / US or India) at the newer Ashby URL.
2026-07-13,board_search,Outmarket AI,Software Engineer,https://jobs.ashbyhq.com/outmarket/10a2487a-1594-4400-8404-9ad2e96eb253/application,Remote / US or India,Remote,Full-time,Experience not explicit on public page,,8,new,"Broader remote software-engineer opening at Outmarket with AI-product, backend-service, and data-pipeline exposure, making it a stronger general-SWE target than the older AI-only title.",Reverified the Ashby page on 2026-07-15.,Open the Ashby form and prioritize this over the older Outmarket AI-only posting.,Still the live broader replacement for the older Outmarket AI Software Engineer listing.
2026-07-13,board_search,Netomi,Devops Engineer - I,https://jobs.lever.co/netomi/78ceaf47-c13a-4735-a2c6-d7301af7f3fc/apply,"Gurugram, India",Remote,Full-time,Experience not explicit; Devops Engineer I with Kubernetes/AWS/Linux focus,,7,new,"Platform/infrastructure stretch at the same company as the live backend SDE I role, with good overlap on Kubernetes, AWS, Jenkins, and Linux tooling.",Reverified the Lever posting on 2026-07-15.,Open the Lever form if you want a platform/infra stretch alongside the backend Netomi application.,Remote role tied to Gurugram; still pipeline-worthy for the infra lane.
2026-07-14,board_search,Netomi,Agentic Engineer,https://jobs.lever.co/netomi/ba379f47-091b-4f2d-82d3-e97a0821227e,Remote - India,Remote,Full-time,Experience not explicit; software-engineering fundamentals plus prompt engineering and API-driven automation,,8,new,"Strong match for the backend-plus-agents lane because the official Lever page wants software engineering fundamentals, prompt engineering, and API-driven automation in a remote India role.",Reverified the official Lever page on 2026-07-15.,Open the Lever form and review the implementation scope; this remains one of the better remote roles in the backend-plus-agents lane.,Agentic Delivery team at Netomi; good complement to the existing Netomi backend and infra roles.
2026-07-15,board_search,NielsenIQ,Associate Software Engineer,https://jobs.smartrecruiters.com/NielsenIQ/744000127188924-associate-software-engineer,"Mount Poonamallee Road, Chennai, Tamil Nadu, India",Hybrid,Full-time,1-2 years or relevant hands-on DevOps/cloud exposure,,7,new,"Junior DevOps-oriented opening disguised under an associate software engineer title, with Kubernetes, Terraform, CI/CD, and cloud tooling that make it a relevant platform/infra early-career lead.",Verified on the official SmartRecruiters page on 2026-07-15.,Open the official form if Chennai plus a platform/devops start is acceptable.,JD itself is for a Jr DevOps Engineer; page says flexible work with 3 days in office.
